name,address,website
Educational Service Unit 09,"5807 Osborne Dr W, Hastings, NE 68901",http://www.esu9.org/
Educational Service Unit 10,"76 Plaza Blvd, Kearney, NE 68845",http://www.esu10.org/
Educational Service Unit 11,"412 W 14th Ave, PO Box 858, Holdrege, NE 68949",http://www.esu11.org/
Educational Service Unit 13,"4215 Ave I, Scottsbluff, NE 69361",http://www.esu13.org/
Educational Service Unit 15,"344 Main St, PO Box 398, Trenton, NE 69044",http://www.esu15.org/
Educational Service Unit 16,"314 W First St, Ogallala, NE 69153",http://www.esu16.org/
Educational Service Unit 17,"207 N Main St, Ainsworth, NE 69210",http://www.esu17.org/
Educational Service Unit 18,"5905 O St, Lincoln, NE 68510",http://www.lps.org/
Educational Service Unit 19,"3215 Cuming St, Omaha, NE 68103",http://www.esu19.org/
Educational Services Commission of NJ,"1660 Stelton Rd, Piscataway, NJ 08854",https://www.escnj.us/
EducationPlus,"1460 Craig Rd, St. Louis, MO 63146",http://www.edplus.org/
El Dorado COE,"6767 Green Valley Rd, Placerville, CA 95667",http://www.edcoe.org/
Erie 1 BOCES,"355 Harlem Rd, West Seneca, NY 14224-1892",https://www.e1b.org/
Erie 2 BOCES-Chautauqua-Cattaraugus,"8685 Erie Rd, Angola, NY 14006",http://www.e2ccb.org/
ESC of Central Ohio,"2080 Citygate Dr, Columbus, OH 43219",https://www.escco.org/
ESC of Lake Erie West,"2275 Collingwood Blvd, Toledo, OH 43620",http://www.esclakeeriewest.org/
ESC of Lorain County,"1885 Lake Ave, Elyria, OH 44035",http://www.loraincountyesc.org/
ESC of Medina County,"275 Center St, Seville, OH 44273",http://www.medina-esc.org/
ESC of Northeast Ohio,"6393 Oak Tree Blvd, Ste 300, Independence, OH 44131",http://www.esc-cc.org/
ESC of the Western Reserve,"8221 Auburn Rd, Concord Township, OH 44077",https://www.lcesc.k12.oh.us/
ESSDACK,"1500 East 11th, Ste 200, Hutchinson, KS 67501",http://www.essdack.org/
Fairfield County ESC,"955 Liberty Dr, Lancaster, OH 43130",https://www.faircoesc.org/
Four Corners Regional Education Cooperative 1,"325 N Bergin Ln, Bloomfield, NM 87413",http://www.nmrec1.org/
Franklin-Essex-Hamilton BOCES,"23 Huskie Ln, PO Box 28, Malone, NY 12953",http://www.fehb.org/
Fremont County BOCES,"413 N 4th West, Riverton, WY 82501",http://www.fcboces.org/
Fresno COE,"1111 Van Ness, Fresno, CA 93721-2000",http://www.fcoe.org/
Front Range BOCES,"6500 Arapahoe Rd, Boulder, CO 80303",http://www.frboces.org/
Gallia-Vinton ESC,"60 Ridge Ave, Wood Hall Rm 131, PO Box 178, Rio Grande, OH 45674",http://www.galliavintonesc.org/
Genesee ISD,"2413 West Maple Ave, Flint, MI 48507",http://www.geneseeisd.org/
Genesee Valley BOCES,"80 Munson St, Le Roy, NY 14482",http://www.gvboces.org/
Gila County,"1400 East Ash St, Globe, AZ 85501",http://www.gilacountyaz.gov/government/school_superintendent/index.php
Glenn COE,"311 S Villa Ave, Willows, CA 95988",http://www.glenncoe.org/
Gogebic-Ontonagon ISD,"202 Elm St, PO Box 218, Bergland, MI 49910",http://www.goisd.org/
Graham County,"921 Thatcher Blvd, 2nd Fl, Safford, AZ 85546",http://www.graham.az.gov/201/School-Superintendent
Grand Valley BOCES,"2508 Blichmann Ave, Grand Junction, CO 81505",http://www.grandvalleyboces.org/
Grant County ESD,"835 S Canyon Blvd A, John Day, OR 97845",https://www.grantesd.k12.or.us/
Grant Wood AEA,"4401 Sixth St SW, Cedar Rapids, IA 52404",http://www.gwaea.org/
Gratiot-Isabella RESD,"1131 E Center St, PO Box 310, Ithaca, MI 48847",https://www.giresd.net/
Great Prairie AEA,"2814 N Court St, Ottumwa, IA 52501",https://www.gpaea.org/
Great Rivers ESC,"PO Box 2837, West Helena, AR 72390",http://www.greatrivers.net/
Greater Southern Tier BOCES,"9579 Vocational Dr, Painted Post, NY 14870-9518",http://www.gstboces.org/
Green Charter Schools,"211 Century Dr, Ste 100-C, Greenville, SC 29607",http://www.scgreencharter.org/
Green Hills AEA,"24997 IA-92, Council Bluffs, IA 51503",http://www.ghaea.org/
Green River Regional EC (GRREC),"230 Technology Way, Bowling Green, KY 42101",http://www.grrec.org/
Greene County ESC,"360 E Enon Rd, Yellow Springs, OH 45387",https://www.greeneesc.org/
Greenlee County,"PO Box 1595, Clifton, AZ 85533",http://www.co.greenlee.az.us/elected-officials/superintendent-of-schools/
Gulf Coast Education Initiative Consortium,"11975 Seaway Rd, Ste A240, Gulfport, MS 39503",http://www.gceic.org/
Guy Fenter Cooperative,"3010 E Highway 22, Ste A, Branch, AR 72928",http://www.gfesc.us/
Hamilton County ESC,"11083 Hamilton Ave, Cincinnati, OH 45231-1499",http://www.hcesc.org/
Hamilton-Fulton-Montgomery BOCES,"2755 State Hwy 67, Johnstown, NY 12095",http://www.hfmboces.org/
Harney ESD,"25 Fairview Hts, PO Box 460, Burns, OR 97720",http://www.harneyesd.k12.or.us/
Heartland AEA,"6500 Corporate Dr, Johnston, IA 50131",http://www.heartlandaea.org/
Heartland Educational Consortium,"1096 US Highway 27 N, Lake Placid, FL 33852",http://www.heartlanded.org/
High Desert ESD,"2804 SW Sixth St, Redmond, OR 97756",http://www.hdesd.org/
High Plains REC 3,"101 N 2nd St, Raton, NM 87740",http://www.hprec.com/
Hrkmr-Fulton-Hmltn-Otsego BOCES,"352 Gros Blvd, Herkimer, NY 13350",http://www.herkimer-boces.org/
Humboldt COE,"901 Myrtle Ave, Eureka, CA 95501",http://www.humboldt.k12.ca.us/
Huron ISD,"1299 S Thomas Rd, Ste 1, Bad Axe, MI 48413",https://www.huronisd.org/
Imperial COE,"1398 Sperber Rd, El Centro, CA 92243",http://www.icoe.org/
Ingham ISD,"2630 West Howell Rd, Mason, MI 48854",http://www.inghamisd.org/
Intermediate District 287,"1820 North Xenium Ln N, Plymouth, MN 55441",http://www.district287.org/
Intermediate District 917,"1300 145th St, Rosemount, MN 55068-2999",http://www.isd917.k12.mn.us/
Intermediate Unit 1,"One Intermediate Unit Dr, Coal Center, PA 15423-9642",https://www.iu1.org/
InterMountain ESD,"2001 SW Nye Ave, Pendleton, OR 97801",http://www.imesd.k12.or.us/
Inyo COE,"166 Grandview Dr, Bishop, CA 93514",http://www.inyocoe.org/
Iroquois-Kankakee Regional Office of Education 32,"1 Stuart Dr, Kankakee, IL 60901",http://www.i-kan.org/
Jackson County ISD,"6700 Browns Lake Rd, Jackson, MI 49201",http://www.jcisd.org/
Jefferson County ESC,"2023 Sunset Blvd, Steubenville, OH 43952",http://www.jcesc.k12.oh.us/
Jefferson County ESD,"295 SE Buff St, Madras, OR 97741",http://www.jcesd.k12.or.us/
Jffrsn-Lwis-Hmltn-Hrkmr-Oneida BOCES,"20104 State Route 3, Watertown, NY 13601",http://www.boces.com/
Kalamazoo RESA,"1819 E Milham Ave, Portage, MI 49002",http://www.kresa.org/kresa/site/default.asp
Kane County ROE,"28 N First St, Geneva, IL 60134",http://www.kaneroe.org/
Kent ISD,"2930 Knapp St NE, Grand Rapids, MI 49525",http://www.kentisd.org/
Kentucky Autism Training Center,"1405 E Burnett Ave, Louisville, KY 40217",https://www.louisville.edu/education/kyautismtraining
Kentucky Educational Development Corp (KEDC),"904 Rose Rd, Ashland, KY 41102-7104",http://www.kedc.org/
Kentucky Valley EC,"412 Roy Campbell Dr, Ste 102, Hazard, KY 41701",http://www.kentuckyvalley.org/
Kern COE,"1300 17th St - City Centre, Ste 603, Bakersfield, CA 93301-4533",http://www.kern.org/
Keystone AEA,"1400 2nd St NW, Elkader, IA 52043-9564",http://www.aea1.k12.ia.us/
Keystone Educational Collaborative,"2 Shaker Rd, Ste D-215, Shirley, MA 01473",https://www.keystonecollaborative.org/
Keystone Learning,"500 E Sunflower, Ozawkie, KS 66070",http://www.keystonelearning.org/
Kings COE,"1144 West Lacey Blvd, Hanford, CA 93230",http://www.kings.k12.ca.us/
La Paz County,"1112 S Joshua Ave, Ste 205, Parker, AZ 85344",http://co.la-paz.az.us/447/Education-Service-Agency
Lake COE,"1152 South Main St, Lakeport, CA 95453",http://www.lakecoe.org/
Lake County ESD,"357 North L St, Lakeview, OR 97630",http://www.lakeesd.k12.or.us/
Lakes Country Service Cooperative,"1001 East Mount Faith, Fergus Falls, MN 56537",http://www.lcsc.org/
Lancaster-Lebanon IU 13,"1020 New Holland Ave, Lancaster, PA 17601",http://www.iu13.org/
Lane ESD,"1200 Highway 99 N, Eugene, OR 97402",http://www.lesd.k12.or.us/
Lassen COE,"472-013 Johnstonville Rd, N, Susanville, CA 96130",http://www.lcoe.org/
Lawrence County ESC,"304 N 2nd St, Ironton, OH 45638",https://lawrencecountyesc.com/
LEARN Regional ESC,"44 Hatchetts Hill Rd, Old Lyme, CT 06371",http://www.learn.k12.ct.us/
Learning Technology Center of Illinois,"3358 Big Pine Trl, Champaign, IL 61822",https://www.ltcillinois.org/
Lincoln IU 12,"65 Billerbeck St, PO Box 70, New Oxford, PA 17350",http://www.iu12.org/
Linn Benton Lincoln ESD,"905 SE 4th Ave, Albany, OR 97321",http://www.lblesd.k12.or.us/
Livingston ESA,"1425 W Grand River Ave, Howell, MI 48843",http://www.lesa.k12.mi.us/
Los Angeles COE,"9300 Imperial Hwy, Downey, CA 90242-2890",http://www.lacoe.edu/
Louisiana Assoc of Computer Using Educators LACUE,"8550 United Plaza Blvd, Ste 1001, Baton Rouge, LA 70809",https://www.lacue.org/
Low Country Education Consortium,"815 S Main St, Summerville, SC 29483",https://www.lowcountryeducationconsortium.org/
Lower Pioneer Valley EC,"174 Brush Hill Ave, West Springfield, MA 01089",http://www.lpvec.org/
Luzerne IU 18,"368 Tioga Ave, Kingston, PA 18704-5117",http://www.liu18.org/
Macomb ISD,"44001 Garfield Rd, Clinton Township, MI 48038-1100",http://www.misd.net/
Madera COE,"1105 S Madera Ave, Madera, CA 93638",http://www.mcsos.org/
Madison-Oneida BOCES,"4937 Spring Rd, PO Box 168, Verona, NY 13478-0168",http://www.moboces.org/
Mahoning County ESC,"7320 N Palmyra Rd, Canfield, OH 44406",http://www.mahoningesc.org/
Malheur ESD,"363 A St W, Vale, OR 97918",http://www.malesd.k12.or.us/
Manistee ISD,"772 E Parkdale Ave, Manistee, MI 49660",http://www.manistee.org/
Maricopa County,"4041 N Central Ave, Ste 1200, Phoenix, AZ 85012",http://www.maricopa.gov/schools/
Marin COE,"1111 Las Gallinas Ave, San Rafael, CA 94913",http://www.marinschools.org/
Mariposa COE,"5082 Old Hwy North, Mariposa, CA 95338",http://www.mariposa.k12.ca.us/
Marquette/Alger RESA,"321 E Ohio St, Marquette, MI 49855",http://www.maresa.org/
Mecosta-Osceola ISD,"15760 190th Ave, Big Rapids, MI 49307",http://www.moisd.org/
Mendocino COE,"2240 Old River Rd, Ukiah, CA 95482",http://www.mcoe.us/
Merced COE,"632 West 13th St, Merced, CA 95340-5908",http://www.mcoe.org/
Mercer County ESC,"441 East Market St, Celina, OH 45822",http://www.mercercountyesc.org/
Metro RESA,"1870 Teasley Dr SE, Smyrna, GA 30080",http://www.mresa.org/
Miami County ESC,"2000 W Stanfield Rd, Troy, OH 45373",http://www.miami.k12.oh.us/
Middle Georgia RESA,"80 Cohen Walker Dr, B203, Warner Robins, GA 31088",https://www.mgresa.org/
Midland County ESA,"3917 Jefferson Ave, Midland, MI 48640",https://www.midlandesa.org/
Mid-Ohio ESC,"890 W Fourth St, Ste 100, Mansfield, OH 44906",http://www.moesc.net/
Midwestern IU 4,"453 Maple St, Grove City, PA 16127-2399",https://www.miu4.org/
Mississippi Bend AEA,"729 21st St, Bettendorf, IA 52722",http://www.aea9.k12.ia.us/
Modoc COE,"139 Henderson St, Alturas, CA 96101",http://www.modoccoe.k12.ca.us/
Mohave County,"700 W Beale St, Kingman, AZ 86402",http://www.mohavecounty.us/ContentPage.aspx%3Fid=130
Monmouth-Ocean ESC,"900 Green Grove Rd, Tinton Falls, NJ 07712",http://www.moesc.org/
Mono COE,"451 Sierra Park Rd, Mammoth Lakes, CA 93546",http://www.monocoe.org/
Monroe 1 BOCES,"41 O'Connor Rd, Fairport, NY 14450",http://www.monroe.edu/
Monroe 2-Orleans BOCES,"3599 Big Ridge Rd, Spencerport, NY 14559",http://www.monroe2boces.org/
Monroe County ISD,"1101 S Raisinville, Monroe, MI 48161",https://www.monroeisd.us/
Monterey COE,"901 Blanco Cir, Salinas, CA 93912-0851",http://www.montereycoe.org/
Montgomery County ESC,"200 South Keowee St, Dayton, OH 45402",http://www.mcesc.org/
Montgomery County IU 23,"2 W Lafayette St, Norristown, PA 19401",http://www.mciu.org/
Mountain BOCES,"27900 Co Rd 319, PO Box 897, Buena Vista, CO 81211",https://www.mtnboces.org/home
Mountain State ESC,"501 22nd St, Dunbar, WV 25064",https://www.mountainstateesc.com/
Mt. Evans BOCES,"PO Box 1069, Bailey, CO 80421",http://www.mtevansboces.com/
Multnomah ESD,"11611 NE Ainsworth Cir, Portland, OR 97220",http://www.mesd.k12.or.us/
Muskegon Area ISD,"630 Harvey St, Muskegon, MI 49442",http://www.muskegonisd.org/
Muskingum Valley ESC,"205 North Seventh St, Zanesville, OH 43701",https://www.mvesc.org/
Napa COE,"2121 Imola Ave, Napa, CA 94559",http://www.napacoe.org/
Nassau BOCES,"71 Clinton Rd, Garden City, NY 11530-9195",http://www.nassauboces.org/
Nat'l School Public Relations Assoc (NSPRA),"15948 Derwood Rd, Rockville, MD 20855",https://www.nspra.org/
Navajo County,"PO Box 668, Holbrook, AZ 86025-0668",http://www.navajocountyaz.gov/Departments/Superintendent-of-Schools
NE Metro Intermediate School District 916,"2540 County Rd F East, White Bear Lake, MN 55110",http://www.nemetro.k12.mn.us/
Nevada COE,"380 Crown Point Cir, Grass Valley, CA 95945",http://www.nevco.org/
New England School Development Council,"28 Lord Rd, Marlborough, MA 01752",https://www.nesdec.org/
Newaygo County RESA,"4747 W 48th St, Fremont, MI 49412",http://www.ncresa.org/
North Central Education Cooperative,"620 Main St, Bottineau, ND 58318",http://www.ncec.k12.nd.us/
North Central ESD (OR),"135 S Main St, Condon, OR 97823",https://www.ncesd.k12.or.us/
North Central ESD 171,"430 Olds Station Rd, Wenatchee, WA 98801",http://www.ncesd.org/
North Central OH ESC,"928 W Market St, Ste A, Tiffin, OH 44883",https://www.ncoesc.org/
North East Florida Educational Consortium,"3841 Reid St, Palatka, FL 32177",http://www.nefec.org/
North Mississippi Ed Consortium,"850 Insight Park Ave, Ste 253C, University, MS 38677-1848",http://www.nmec.net/
North River Collaborative,"198 Spring St, Rockland, MA 02370",http://www.northrivercollaborative.org/
Northcentral Arkansas ESC,"PO Box 739, Melbourne, AR 72556",http://naesc.k12.ar.us/
Northeast Arkansas ESC,"211 SW Hickory, Walnut Ridge, AR 72476",http://www.nea.k12.ar.us/
Northeast BOCES,"301 W Powell, PO Box 98, Haxtun, CO 80731",http://www.neboces.org/
Northeast Education Services Cooperative,"810 10th St SE, Devils Lake, ND 58301",http://www.nesc.k12.nd.us/
Northeast Georgia RESA,"375 Winter St, Winterville, GA 30683",https://www.negaresa.org/
Northeast Regional Education Cooperative 4,"1005 Diamond Ave, NMHU Campus, 302B, PO Box 927, Las Vegas, NM 87701",http://www.rec4.com/
Northeast Service Cooperative,"5525 Emerald Ave, Mt. Iron, MN 55768",http://www.nesc.k12.mn.us/
NorthEast Washington ESD 101,"4202 S Regal, Spokane, WA 99223-7738",http://www.esd101.net/
Northeastern Education IU 19,"1200 Line St, Archbald, PA 18403-1918",http://www.neiu.org/
Northeastern Utah Educational Services,"35 S Main St, Heber City, UT 84032",http://www.nucenter.org/
Northern KY CES (NKCES),"5516 East Alexandria Pike, Cold Springs, KY 41076",http://www.nkces.org/
Northern Region ESC,"82 Totowa Rd, 2nd Fl, Wayne, NJ 07470",https://www.nresc.org/
Northern/Northwest Indiana ESC,"56535 Magnetic Dr, Mishawaka, IN 46545",https://niesc.org/
Northshore Education Consortium,"112 Sohier Rd, Beverly, MA 01915",http://www.nsedu.org/
Northwest AEA,"1520 Morningside Ave, Sioux City, IA 51106",https://www.nwaea.org/
Northwest Arkansas ESC,"4 North Double Springs Rd, Farmington, AR 72730",http://www.starfishnw.org/
